-0.205887 0.0426408
-0.204332 0.0173989
-0.218611 0.0027331
-0.204868 -0.0299113
-0.205075 -0.0454768
-0.193599 -0.0614238
-0.191181 -0.0704116
-0.201911 -0.0920066
-0.176488 -0.0927456
-0.167695 -0.0863381
-0.162385 -0.0778287
-0.158494 -0.0697575
-0.150923 -0.0676554
-0.152153 -0.0640607
-0.135983 -0.0639682
-0.134868 -0.0682755
-0.12085 -0.0622703
-0.116273 -0.0488585
-0.118902 -0.0345087
-0.106972 -0.00637968
-0.0930304 -0.000194856
-0.0797939 0.0112625
-0.0805177 0.038611
-0.0904441 0.0239809
-0.113855 0.0104627
-0.126853 0.03016
-0.125184 0.0551174
-0.121161 0.0816183
-0.110953 0.0889886
-0.180081 0.0654003
