file1 file2 flip heuristic runtime closed open count_e count_s
../data/random_experiments_paper/n_20/set_0/triangulation/t_0 ../data/random_experiments_paper/n_20/set_0/triangulation/t_1 34 31 16292 667312 4439891 269490 397822
../data/random_experiments_paper/n_20/set_0/triangulation/t_0 ../data/random_experiments_paper/n_20/set_0/triangulation/t_10 23 23 0 0 0 0 0
../data/random_experiments_paper/n_20/set_0/triangulation/t_0 ../data/random_experiments_paper/n_20/set_0/triangulation/t_11 37 35 2408 70328 796781 61392 8936
../data/random_experiments_paper/n_20/set_0/triangulation/t_0 ../data/random_experiments_paper/n_20/set_0/triangulation/t_12 23 23 0 0 0 0 0
../data/random_experiments_paper/n_20/set_0/triangulation/t_0 ../data/random_experiments_paper/n_20/set_0/triangulation/t_13 27 27 0 0 0 0 0
../data/random_experiments_paper/n_20/set_0/triangulation/t_0 ../data/random_experiments_paper/n_20/set_0/triangulation/t_14 21 20 11 1629 17944 0 0
../data/random_experiments_paper/n_20/set_0/triangulation/t_0 ../data/random_experiments_paper/n_20/set_0/triangulation/t_15 39 39 0 0 0 0 0
../data/random_experiments_paper/n_20/set_0/triangulation/t_0 ../data/random_experiments_paper/n_20/set_0/triangulation/t_16 27 27 0 0 0 0 0
../data/random_experiments_paper/n_20/set_0/triangulation/t_0 ../data/random_experiments_paper/n_20/set_0/triangulation/t_17 32 31 94 2946 30436 2938 8
../data/random_experiments_paper/n_20/set_0/triangulation/t_0 ../data/random_experiments_paper/n_20/set_0/triangulation/t_18 29 29 0 0 0 0 0
../data/random_experiments_paper/n_20/set_0/triangulation/t_0 ../data/random_experiments_paper/n_20/set_0/triangulation/t_19 27 26 37 2179 20207 1008 1171
../data/random_experiments_paper/n_20/set_0/triangulation/t_0 ../data/random_experiments_paper/n_20/set_0/triangulation/t_2 21 21 0 0 0 0 0
../data/random_experiments_paper/n_20/set_0/triangulation/t_0 ../data/random_experiments_paper/n_20/set_0/triangulation/t_3 22 22 0 0 0 0 0
../data/random_experiments_paper/n_20/set_0/triangulation/t_0 ../data/random_experiments_paper/n_20/set_0/triangulation/t_4 36 33 4768 126467 1315697 126460 7
../data/random_experiments_paper/n_20/set_0/triangulation/t_0 ../data/random_experiments_paper/n_20/set_0/triangulation/t_5 30 27 402 27687 290759 5620 22067
../data/random_experiments_paper/n_20/set_0/triangulation/t_0 ../data/random_experiments_paper/n_20/set_0/triangulation/t_6 28 27 139 5137 63905 4008 1129
../data/random_experiments_paper/n_20/set_0/triangulation/t_0 ../data/random_experiments_paper/n_20/set_0/triangulation/t_7 19 19 0 0 0 0 0
../data/random_experiments_paper/n_20/set_0/triangulation/t_0 ../data/random_experiments_paper/n_20/set_0/triangulation/t_8 27 26 31 1139 14199 1125 14
../data/random_experiments_paper/n_20/set_0/triangulation/t_0 ../data/random_experiments_paper/n_20/set_0/triangulation/t_9 35 33 3768 103751 957663 103741 10
../data/random_experiments_paper/n_20/set_0/triangulation/t_1 ../data/random_experiments_paper/n_20/set_0/triangulation/t_10 21 21 0 0 0 0 0
../data/random_experiments_paper/n_20/set_0/triangulation/t_1 ../data/random_experiments_paper/n_20/set_0/triangulation/t_11 20 20 0 0 0 0 0
../data/random_experiments_paper/n_20/set_0/triangulation/t_1 ../data/random_experiments_paper/n_20/set_0/triangulation/t_12 25 24 86 2315 37201 2307 8
../data/random_experiments_paper/n_20/set_0/triangulation/t_1 ../data/random_experiments_paper/n_20/set_0/triangulation/t_13 32 31 2890 109072 1152319 59784 49288
../data/random_experiments_paper/n_20/set_0/triangulation/t_1 ../data/random_experiments_paper/n_20/set_0/triangulation/t_14 28 28 0 0 0 0 0
../data/random_experiments_paper/n_20/set_0/triangulation/t_1 ../data/random_experiments_paper/n_20/set_0/triangulation/t_15 31 30 689 31495 334378 16218 15277
../data/random_experiments_paper/n_20/set_0/triangulation/t_1 ../data/random_experiments_paper/n_20/set_0/triangulation/t_16 18 18 0 0 0 0 0
../data/random_experiments_paper/n_20/set_0/triangulation/t_1 ../data/random_experiments_paper/n_20/set_0/triangulation/t_17 24 24 0 0 0 0 0
../data/random_experiments_paper/n_20/set_0/triangulation/t_1 ../data/random_experiments_paper/n_20/set_0/triangulation/t_18 21 21 0 0 0 0 0
../data/random_experiments_paper/n_20/set_0/triangulation/t_1 ../data/random_experiments_paper/n_20/set_0/triangulation/t_19 28 27 92 2929 42472 2922 7
../data/random_experiments_paper/n_20/set_0/triangulation/t_1 ../data/random_experiments_paper/n_20/set_0/triangulation/t_2 27 27 0 0 0 0 0
../data/random_experiments_paper/n_20/set_0/triangulation/t_1 ../data/random_experiments_paper/n_20/set_0/triangulation/t_3 27 26 180 5291 75352 5282 9
../data/random_experiments_paper/n_20/set_0/triangulation/t_1 ../data/random_experiments_paper/n_20/set_0/triangulation/t_4 23 23 0 0 0 0 0
../data/random_experiments_paper/n_20/set_0/triangulation/t_1 ../data/random_experiments_paper/n_20/set_0/triangulation/t_5 23 21 150 7181 92112 3552 3629
../data/random_experiments_paper/n_20/set_0/triangulation/t_1 ../data/random_experiments_paper/n_20/set_0/triangulation/t_6 19 19 0 0 0 0 0
../data/random_experiments_paper/n_20/set_0/triangulation/t_1 ../data/random_experiments_paper/n_20/set_0/triangulation/t_7 26 26 0 0 0 0 0
../data/random_experiments_paper/n_20/set_0/triangulation/t_1 ../data/random_experiments_paper/n_20/set_0/triangulation/t_8 26 26 0 0 0 0 0
../data/random_experiments_paper/n_20/set_0/triangulation/t_1 ../data/random_experiments_paper/n_20/set_0/triangulation/t_9 17 17 0 0 0 0 0
../data/random_experiments_paper/n_20/set_0/triangulation/t_10 ../data/random_experiments_paper/n_20/set_0/triangulation/t_11 32 32 0 0 0 0 0
../data/random_experiments_paper/n_20/set_0/triangulation/t_10 ../data/random_experiments_paper/n_20/set_0/triangulation/t_12 19 19 0 0 0 0 0
../data/random_experiments_paper/n_20/set_0/triangulation/t_10 ../data/random_experiments_paper/n_20/set_0/triangulation/t_13 20 20 0 0 0 0 0
../data/random_experiments_paper/n_20/set_0/triangulation/t_10 ../data/random_experiments_paper/n_20/set_0/triangulation/t_14 23 23 0 0 0 0 0
../data/random_experiments_paper/n_20/set_0/triangulation/t_10 ../data/random_experiments_paper/n_20/set_0/triangulation/t_15 20 20 0 0 0 0 0
../data/random_experiments_paper/n_20/set_0/triangulation/t_10 ../data/random_experiments_paper/n_20/set_0/triangulation/t_16 21 21 0 0 0 0 0
../data/random_experiments_paper/n_20/set_0/triangulation/t_10 ../data/random_experiments_paper/n_20/set_0/triangulation/t_17 27 27 0 0 0 0 0
../data/random_experiments_paper/n_20/set_0/triangulation/t_10 ../data/random_experiments_paper/n_20/set_0/triangulation/t_18 16 16 0 0 0 0 0
../data/random_experiments_paper/n_20/set_0/triangulation/t_10 ../data/random_experiments_paper/n_20/set_0/triangulation/t_19 24 23 38 4558 63238 0 0
../data/random_experiments_paper/n_20/set_0/triangulation/t_10 ../data/random_experiments_paper/n_20/set_0/triangulation/t_2 20 20 0 0 0 0 0
../data/random_experiments_paper/n_20/set_0/triangulation/t_10 ../data/random_experiments_paper/n_20/set_0/triangulation/t_3 15 15 0 0 0 0 0
../data/random_experiments_paper/n_20/set_0/triangulation/t_10 ../data/random_experiments_paper/n_20/set_0/triangulation/t_4 22 22 0 0 0 0 0
../data/random_experiments_paper/n_20/set_0/triangulation/t_10 ../data/random_experiments_paper/n_20/set_0/triangulation/t_5 22 22 0 0 0 0 0
../data/random_experiments_paper/n_20/set_0/triangulation/t_10 ../data/random_experiments_paper/n_20/set_0/triangulation/t_6 19 19 0 0 0 0 0
../data/random_experiments_paper/n_20/set_0/triangulation/t_10 ../data/random_experiments_paper/n_20/set_0/triangulation/t_7 19 19 0 0 0 0 0
../data/random_experiments_paper/n_20/set_0/triangulation/t_10 ../data/random_experiments_paper/n_20/set_0/triangulation/t_8 16 16 0 0 0 0 0
../data/random_experiments_paper/n_20/set_0/triangulation/t_10 ../data/random_experiments_paper/n_20/set_0/triangulation/t_9 25 24 35 4156 63286 0 0
../data/random_experiments_paper/n_20/set_0/triangulation/t_11 ../data/random_experiments_paper/n_20/set_0/triangulation/t_12 31 29 960 29447 317572 23628 5819
../data/random_experiments_paper/n_20/set_0/triangulation/t_11 ../data/random_experiments_paper/n_20/set_0/triangulation/t_13 34 34 0 0 0 0 0
../data/random_experiments_paper/n_20/set_0/triangulation/t_11 ../data/random_experiments_paper/n_20/set_0/triangulation/t_14 27 27 0 0 0 0 0
../data/random_experiments_paper/n_20/set_0/triangulation/t_11 ../data/random_experiments_paper/n_20/set_0/triangulation/t_15 35 34 97 3018 35381 3005 13
../data/random_experiments_paper/n_20/set_0/triangulation/t_11 ../data/random_experiments_paper/n_20/set_0/triangulation/t_16 20 20 0 0 0 0 0
../data/random_experiments_paper/n_20/set_0/triangulation/t_11 ../data/random_experiments_paper/n_20/set_0/triangulation/t_17 26 26 0 0 0 0 0
../data/random_experiments_paper/n_20/set_0/triangulation/t_11 ../data/random_experiments_paper/n_20/set_0/triangulation/t_18 27 27 0 0 0 0 0
../data/random_experiments_paper/n_20/set_0/triangulation/t_11 ../data/random_experiments_paper/n_20/set_0/triangulation/t_19 29 29 0 0 0 0 0
../data/random_experiments_paper/n_20/set_0/triangulation/t_11 ../data/random_experiments_paper/n_20/set_0/triangulation/t_2 31 30 776 23878 272696 23872 6
../data/random_experiments_paper/n_20/set_0/triangulation/t_11 ../data/random_experiments_paper/n_20/set_0/triangulation/t_3 33 32 2092 68554 691673 50864 17690
