-0.205887 0.0426408
-0.22082 0.00264943
-0.20282 -0.0293131
-0.205075 -0.0454768
-0.193599 -0.0614238
-0.191181 -0.0704116
-0.201911 -0.0920066
-0.167695 -0.0863381
-0.158494 -0.0697575
-0.150923 -0.0676554
-0.152153 -0.0640607
-0.135983 -0.0639682
-0.134868 -0.0682755
-0.115095 -0.0622703
-0.116273 -0.0488585
-0.106972 -0.00637968
-0.097682 -0.000194856
-0.0797939 0.0112625
-0.0845435 0.038611
-0.0904441 0.0239809
-0.113855 0.0104627
-0.126853 0.03016
-0.121161 0.0816183
-0.110953 0.0889886
-0.180081 0.0654003
